experiment,dataset,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,threshold,n_train_normals,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,tp,fp,fn,tn,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std
baseline,Fuzzy,residual,elliptic_envelope,0,0.2551841912661625,0.8070987654320988,0.3877664504170529,0.9346157988925227,0.6917365713089767,0.1573792463529048,527.7012985218732,7884,0.23246489999974074,0.003586599999835016,0.23605149999957575,344.875,66831,1046,3053,250,16346,0.2551841912661625,0.228184698269759,0.2879671090102329,0.2561297495882654,0.015414407188851027,0.8070987654320988,0.7737897761187493,0.8429752606156206,0.8065876283922044,0.01737787940979756,0.3877664504170529,0.35618493820451275,0.42383854725404024,0.3884732458583761,0.01741129821165199,0.9346157988925227,0.9232045497411167,0.9454153065202436,0.9347888516638159,0.005578097722251584,0.6917365713089767,0.6641244409169902,0.7233128160948086,0.6923082265622054,0.015326158457024569,0.1573792463529048,0.1318301572286018,0.18366014372696648,0.1565325230825813,0.013651085521908187
baseline,Fuzzy,residual,autoencoder,0,0.23078382994875687,0.9382716049382716,0.37044935262757045,0.9375635612501345,0.6294382038226399,0.2089282952729522,0.0026637919067160846,7884,0.6788966999997683,0.007280999999693449,0.6861776999994618,343.19921875,18610,1216,4053,80,15346,0.23078382994875687,0.20905040859404617,0.256740427227252,0.23139074857498662,0.012433632073803796,0.9382716049382716,0.9214610873275288,0.9536034245903248,0.937914029664106,0.008212395794166067,0.37044935262757045,0.34205278844620085,0.40315827853968256,0.37101624678958245,0.015817007559851652,0.9375635612501345,0.9263646588395722,0.9477002708039574,0.9377289791318058,0.005240072355748125,0.6294382038226399,0.6001608266690005,0.6616534168594682,0.6307414662173492,0.015377887732322258,0.2089282952729522,0.1797286058775305,0.2398838837963894,0.20792732885261642,0.015246613230734767
baseline,RPM,residual,isolation_forest,0,0.9842315369261477,0.9993919740575598,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.004208619679292526,0.6268439411854895,7304,0.28445719999990615,0.19513430000006338,0.47959149999996953,345.125,1958047,4931,79,3,18692,0.9842315369261477,0.9797808871967678,0.9887685049024124,0.9842902311687135,0.002326150527958372,0.9993919740575598,0.9984742817089013,1.0,0.9993872969275003,0.00036689072909439774,0.9917538213998391,0.989492053663344,0.99412341306988,0.9917798911108022,0.001192384832796522,0.9988320822875381,0.9983163750078026,0.9992687513165854,0.9988164534866631,0.0002454612236822471,0.9910135815797572,0.9857366973205076,0.9951615057220611,0.9909322767409033,0.0025476015943198898,0.004208619679292526,0.0028930341851069667,0.0053705944230686585,0.004190214393218764,0.000653746619517141
baseline,RPM,residual,one_class_svm,0,0.8064727034978751,1.0,0.8928700687658343,0.9998668158329338,0.998987649321725,0.06307602152256139,10.90415049254523,7304,0.04434910000054515,0.354053500000191,0.39840260000073613,345.4765625,31994,4934,1184,0,17587,0.8064727034978751,0.7908118822189754,0.8200858901927173,0.8062284607406162,0.007853099229125983,1.0,1.0,1.0,1.0,0.0,0.8928700687658343,0.8831881107241859,0.9011507583836947,0.8926994098109344,0.004818636617454337,0.9998668158329338,0.9997568942297467,0.999973030590828,0.9998657206101162,5.79943301968882e-05,0.998987649321725,0.9981035661431817,0.9997853905711187,0.9989811839578279,0.00043259261797662976,0.06307602152256139,0.06108581877387919,0.0648665792818111,0.0630132567307273,0.000997909072803995
baseline,RPM,residual,lof,0,0.8268811798223563,1.0,0.9052380515549032,0.9998522071439966,0.9994785045282168,0.05503169783176176,13.101643044004707,7304,0.2767975999995542,1.009950000000572,1.2867476000001261,350.71875,2514956,4934,1033,0,17738,0.8268811798223563,0.8090064488882805,0.8432903246688276,0.8267568810653149,0.00893430401805565,1.0,1.0,1.0,1.0,0.0,0.9052380515549032,0.894420745385532,0.9149837256017438,0.905137348127657,0.005359580213965906,0.9998522071439966,0.9997033640740891,0.9999540600457721,0.9998499892267958,6.462559337821681e-05,0.9994785045282168,0.9988996889461805,0.9998339975886782,0.99946778659741,0.00023426930517795626,0.05503169783176176,0.05205143566194838,0.057965028934751285,0.05492657233713039,0.00155699925269265
baseline,RPM,residual,hbos,0,0.9543520309477757,1.0,0.9766429136975456,0.9999988662879984,0.9999957230013246,0.01257258537105109,23.13903550651263,7304,0.0024587000007159077,0.006776599999284372,0.00923530000000028,346.73046875,3711,4934,236,0,18535,0.9543520309477757,0.9477056821769881,0.9615199869870458,0.9544721845485494,0.0036247318536991053,1.0,1.0,1.0,1.0,0.0,0.9766429136975456,0.9731508110787604,0.9803825536137372,0.9767023062227673,0.0018978014308573786,0.9999988662879984,0.9999970183269297,0.999999967527869,0.9999988814068017,7.743101391312765e-07,0.9999957230013246,0.9999888732065837,0.9999998741767695,0.999995758337364,2.9499523316849177e-06,0.01257258537105109,0.010424040768473,0.014622750393718752,0.012520299994657378,0.0010735227969622403
baseline,RPM,residual,elliptic_envelope,0,0.948481353325644,1.0,0.973559589581689,1.0,1.0,0.014277342709498694,1713.5647506460496,7304,0.24686229999952047,0.006872500000099535,0.25373479999962,348.4375,66831,4934,268,0,18503,0.948481353325644,0.9369052190995681,0.9600479186211935,0.9487559645602023,0.005869124987994147,1.0,1.0,1.0,1.0,0.0,0.973559589581689,0.9674249513371745,0.9796167833317633,0.9736949144022706,0.003093682769620053,1.0,0.9999999999999999,1.0,1.0,4.370952418903846e-17,1.0,1.0,1.0,1.0,1.6653345369377347e-17,0.014277342709498694,0.010733632813918556,0.018053992344521496,0.014193590731566601,0.0018245726815745182
baseline,RPM,residual,autoencoder,0,0.8117801908522541,1.0,0.8961133309117326,1.0,1.0,0.060945074849501894,3.2974848146679783,7304,0.6637016000004223,0.008653400000184774,0.6723550000006071,348.81640625,18610,4934,1144,0,17627,0.8117801908522541,0.7966918465462727,0.825845239890973,0.8115160579493105,0.007579312584673952,1.0,1.0,1.0,1.0,0.0,0.8961133309117326,0.8868430581252176,0.9046169103188851,0.8959330325938819,0.004623248819002103,1.0,0.9999999999999999,1.0,1.0,4.191000011072726e-17,1.0,0.9999999999999999,1.0,1.0,2.0014830212433607e-17,0.060945074849501894,0.05914280996397415,0.06254933264545175,0.060894011555906374,0.0009054366064048449
baseline,gear,residual,isolation_forest,0,0.898961937716263,0.9975043194471108,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.03157951657383875,0.5317229291254862,7311,0.25113930000043183,0.15546679999988555,0.4066061000003174,352.140625,1762511,5196,584,13,17909,0.898961937716263,0.8860736943383746,0.9119507744773075,0.8992712394107193,0.0064923433306556845,0.9975043194471108,0.9950057351552606,0.9992441445742271,0.9973834818374686,0.0011320521016747762,0.9456729456729457,0.9380728498779934,0.952609640797853,0.9457772578756146,0.0036403314055411065,0.9994354201275767,0.9991187924093134,0.9996824138347773,0.999439084233522,0.0001406427994780999,0.9955142447665495,0.9915756993453576,0.9985661903060337,0.9956616262164252,0.001798707528025679,0.03157951657383875,0.026724684039171134,0.035388836433882256,0.03138303491738299,0.0023107752023491493
baseline,gear,residual,one_class_svm,0,0.9135391090845317,1.0,0.9548162404912474,0.9994592548531878,0.9961751768980684,0.026658735737846752,2.9924935906811436,7311,0.04299040000023524,0.3114243999998507,0.35441480000008596,348.046875,32650,5209,493,0,18000,0.9135391090845317,0.9027624643644254,0.9243965000940629,0.9133794071356369,0.0056490177996231265,1.0,1.0,1.0,1.0,0.0,0.9548162404912474,0.9488966501803734,0.9607131379090035,0.9547198898109603,0.0030868494821908064,0.9994592548531878,0.9990410445926489,0.9998098903199272,0.9994643711954609,0.0002036655195179902,0.9961751768980684,0.993257151113559,0.9986385488104546,0.9962056131458862,0.001434964746276544,0.026658735737846752,0.023447656258805495,0.029714574047628024,0.026615212108451743,0.0016227072512627404
