dataset,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std
Fuzzy,raw,autoencoder,0,0.12840466926070038,0.02546296296296296,0.04249839021249195,0.8129594865842009,0.2274343677785436,0.011546986958090623,0.12840466926070038,0.07805401714589182,0.18065894095753673,0.1275673500678037,0.025942479401295977,0.02546296296296296,0.015867285542375795,0.037621675155630994,0.025290934928266874,0.005527667449553138,0.04249839021249195,0.02685633285089307,0.061978551808777975,0.04216340239151035,0.008993972838011864,0.8129594865842009,0.7938267425655808,0.8322729179693613,0.812700325423254,0.010006892035045341,0.2274343677785436,0.20472675761787612,0.2522128103446392,0.22745510623939122,0.012497878325661177,0.011546986958090623,0.010171919881923536,0.01276014670611665,0.011486285690292784,0.0006920004562767912
Fuzzy,residual,isolation_forest,0,0.31183854294856017,0.9776234567901234,0.47284941220376936,0.972770726377012,0.7592283393158402,0.1441311407804526,0.31183854294856017,0.27996590303676083,0.3514742868790783,0.3137165984179299,0.019295829557531365,0.9776234567901234,0.9657755659217473,0.9871142109851787,0.9773307075002934,0.005749808752201254,0.47284941220376936,0.4357618162152451,0.5164998790114999,0.47462110659811485,0.021860207013670974,0.972770726377012,0.9670119244478006,0.9789961240723329,0.9731464420972383,0.003274772850667657,0.7592283393158402,0.726246713991281,0.801619782406149,0.7625387893774003,0.020132591137077393,0.1441311407804526,0.11973331851653977,0.16828324192076033,0.1429294997670182,0.013040410050369626
Fuzzy,residual,one_class_svm,0,0.4170096021947874,0.7037037037037037,0.5236864771748493,0.8015631692227995,0.6184330131237864,0.06572503737306047,0.4170096021947874,0.373863765194603,0.47448914329786396,0.41858554956053096,0.02431667868321734,0.7037037037037037,0.6712405285579196,0.7408050065300582,0.7041140548009491,0.01823117686082573,0.5236864771748493,0.4870086080640193,0.5622908680669223,0.5244858075662461,0.018851508471034503,0.8015631692227995,0.7745690141070061,0.8304348612137383,0.8020982280203299,0.014196312716388115,0.6184330131237864,0.5885080884203481,0.6504199025292964,0.6193817265381055,0.015767449301285524,0.06572503737306047,0.05528921309670331,0.07540720871743643,0.06523435441324804,0.0049435707429194235
Fuzzy,residual,lof,0,0.6040992448759439,0.43209876543209874,0.5038236617183987,0.8385513619449647,0.5548798633585252,0.018918500953657404,0.6040992448759439,0.5398967238324432,0.6591657358869548,0.6013553521776397,0.029974399587151118,0.43209876543209874,0.3895539667759606,0.4709427964640822,0.4304976675605242,0.02095543016450538,0.5038236617183987,0.45795520945106083,0.5389582029891368,0.5014480309990605,0.021026505273992503,0.8385513619449647,0.817013668026078,0.8563040910366132,0.8382367774832409,0.009898332983742413,0.5548798633585252,0.5128756715564681,0.5923553943308211,0.5536006976764087,0.020648103461712978,0.018918500953657404,0.016371140099693704,0.021754960307950696,0.018968260745227096,0.0013624441068197889
Fuzzy,residual,hbos,0,0.2861325525685387,0.8294753086419753,0.4254898080348308,0.911919420881438,0.5566752385166889,0.1382545492035672,0.2861325525685387,0.25440693953739074,0.3271413875323151,0.28783197711712005,0.017798928262102866,0.8294753086419753,0.7884193276691505,0.8635627171864426,0.8295489725833503,0.018857488863997227,0.4254898080348308,0.3919151559700441,0.4677320990525884,0.4269352205307468,0.018677021612901565,0.911919420881438,0.8986207536841694,0.9247212074319459,0.912317665208781,0.006780055124193841,0.5566752385166889,0.5222026880630549,0.6003010749737137,0.5593833183936908,0.019354061745350894,0.1382545492035672,0.11218078685097077,0.16210386726651604,0.13719225920907618,0.012472584536647327
Fuzzy,residual,elliptic_envelope,0,0.2551841912661625,0.8070987654320988,0.3877664504170529,0.9346157988925227,0.6917365713089767,0.1573792463529048,0.2551841912661625,0.228184698269759,0.2879671090102329,0.2561297495882654,0.015414407188851027,0.8070987654320988,0.7737897761187493,0.8429752606156206,0.8065876283922044,0.01737787940979756,0.3877664504170529,0.35618493820451275,0.42383854725404024,0.3884732458583761,0.01741129821165199,0.9346157988925227,0.9232045497411167,0.9454153065202436,0.9347888516638159,0.005578097722251584,0.6917365713089767,0.6641244409169902,0.7233128160948086,0.6923082265622054,0.015326158457024569,0.1573792463529048,0.1318301572286018,0.18366014372696648,0.1565325230825813,0.013651085521908187
Fuzzy,residual,autoencoder,0,0.23078382994875687,0.9382716049382716,0.37044935262757045,0.9375635612501345,0.6294382038226399,0.2089282952729522,0.23078382994875687,0.20905040859404617,0.256740427227252,0.23139074857498662,0.012433632073803796,0.9382716049382716,0.9214610873275288,0.9536034245903248,0.937914029664106,0.008212395794166067,0.37044935262757045,0.34205278844620085,0.40315827853968256,0.37101624678958245,0.015817007559851652,0.9375635612501345,0.9263646588395722,0.9477002708039574,0.9377289791318058,0.005240072355748125,0.6294382038226399,0.6001608266690005,0.6616534168594682,0.6307414662173492,0.015377887732322258,0.2089282952729522,0.1797286058775305,0.2398838837963894,0.20792732885261642,0.015246613230734767
RPM,raw,isolation_forest,0,0.0,0.0,0.0,0.8547210693810798,0.4309379217232606,0.0034095146768952107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8547210693810798,0.8451349172941335,0.8633618321004404,0.8546459150460811,0.0050234381934230994,0.4309379217232606,0.4113961334242509,0.44953348576512514,0.43094846045894825,0.009436485180988635,0.0034095146768952107,0.0024081987711335557,0.004254528429829232,0.003292352527560517,0.00047191802855290683
RPM,raw,one_class_svm,0,0.0,0.0,0.0,0.9754712122773797,0.7760450958669509,0.010121996697032657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754712122773797,0.9727699671562761,0.978670158611948,0.9756424346266539,0.0015881183547542318,0.7760450958669509,0.753443826433052,0.7995527718210345,0.7769342564880205,0.011835834196932618,0.010121996697032657,0.008110863345238674,0.011882025221252614,0.01005635439910991,0.0009686322389057558
RPM,raw,lof,0,0.003518029903254178,0.0008107012565869477,0.0013177400757700543,0.7371769344587271,0.3038414164583097,0.060359064514410525,0.003518029903254178,0.0,0.007786823481185873,0.0033289480873994136,0.0019429487028928933,0.0008107012565869477,0.0,0.0017585395613819632,0.0007694686922965514,0.0004499842142665213,0.0013177400757700543,0.0,0.0028870370627411238,0.0012495818886758935,0.000730019512714437,0.7371769344587271,0.7261688821898789,0.7472996507677124,0.737323345128059,0.005199360380911536,0.3038414164583097,0.28265325288645365,0.32438971127054855,0.3037558452977703,0.010493483164065391,0.060359064514410525,0.05862486362542679,0.06218929334172049,0.06034992618447127,0.0009089815809404303
RPM,raw,hbos,0,0.0,0.0,0.0,0.6157699836121391,0.37583865507140807,0.009535986361941293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6157699836121391,0.6062843111855033,0.6268196990734639,0.6158684504679112,0.00532952731927399,0.37583865507140807,0.35381398867829617,0.39732264011845225,0.3757516217660209,0.010951383849675981,0.009535986361941293,0.007701703641547103,0.011218354638038741,0.009463257809285159,0.0009334426044799263
RPM,raw,elliptic_envelope,0,0.0,0.0,0.0,0.8467874175761683,0.4141016234235234,0.012306217036918652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8467874175761683,0.8314829614260882,0.8613535767168827,0.8468731203673502,0.007966933600273746,0.4141016234235234,0.3970037574306176,0.43183748608163386,0.41419876776973547,0.008955435368717042,0.012306217036918652,0.009374345245083565,0.015492241780169476,0.01220246287979061,0.001620198411682349
