feature,method,f1_full,roc_auc_full,pr_auc_full,f1_without,roc_auc_without,pr_auc_without,delta_f1,delta_roc_auc,delta_pr_auc,rank,corpus,dataset,detector
byte_entropy_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.4793378995433791,0.9654362478550699,0.5038533970909097,-0.06361201322925752,0.0010838763855048894,0.015726172813605,10,road,correlated_signal_attack_1,isolation_forest
byte_nunique_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.457516339869281,0.9724818970969153,0.5505088084587747,-0.041790453555159424,-0.005961772856340586,-0.030929238554259997,11,road,correlated_signal_attack_1,isolation_forest
iat_std_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.43193164856657573,0.9733012750123664,0.5797591728846255,-0.01620576225245418,-0.006781150771791644,-0.060179602980110825,12,road,correlated_signal_attack_1,isolation_forest
byte_mean_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.4443738753043294,0.9783061650430384,0.6395316662826134,-0.028647988990207873,-0.011786040802463593,-0.11995209637809867,13,road,correlated_signal_attack_1,isolation_forest
byte_var_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.4789503707929264,0.9816660178032968,0.6761789390839898,-0.06322448447880485,-0.015145893562722001,-0.15659936917947515,14,road,correlated_signal_attack_1,isolation_forest
iat_median_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.5005917159763313,0.9649304725325836,0.4000696660018111,0.21044896019905168,0.021471094312126016,0.2273254877393232,1,road,reverse_light_off_attack_1,isolation_forest
iat_min_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.534665455646382,0.9697910128464218,0.4545948556083459,0.176375220529001,0.016610553998287814,0.1728002981327884,2,road,reverse_light_off_attack_1,isolation_forest
iat_max_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6375291375291375,0.9783829749365862,0.530815403322099,0.07351153864624549,0.008018591908123374,0.09657975041903533,3,road,reverse_light_off_attack_1,isolation_forest
iat_std_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.7307692307692307,0.9789367408365677,0.538065061258879,-0.019728554593847702,0.0074648260081419116,0.08933009248225532,4,road,reverse_light_off_attack_1,isolation_forest
iat_mean_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6819571865443426,0.9816955754567164,0.5977486329955559,0.02908348963104046,0.004705991387993214,0.029646520745578386,5,road,reverse_light_off_attack_1,isolation_forest
byte_entropy_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6545189504373178,0.9834600159103066,0.5961154077767165,0.05652172573806524,0.002941550934402959,0.03127974596441785,6,road,reverse_light_off_attack_1,isolation_forest
window_fill_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.671181339352897,0.9836589498118264,0.5975055575436717,0.03985933682248599,0.0027426170328831434,0.029889596197462565,7,road,reverse_light_off_attack_1,isolation_forest
byte_nunique_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6825678761735601,0.9845564790004547,0.6088522487140604,0.02847280000182295,0.0018450878442548557,0.018542905027073897,8,road,reverse_light_off_attack_1,isolation_forest
dlc_mode_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6547475235564146,0.9879563350962135,0.6734447515869367,0.05629315261896839,-0.001554768251503913,-0.046049597845802426,9,road,reverse_light_off_attack_1,isolation_forest
dlc_std_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6547475235564146,0.9879563350962135,0.6734447515869367,0.05629315261896839,-0.001554768251503913,-0.046049597845802426,10,road,reverse_light_off_attack_1,isolation_forest
time_since_last_seen_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6918335901386748,0.9889634775529318,0.6586490586279361,0.019207086036708176,-0.0025619107082222037,-0.0312539048868018,11,road,reverse_light_off_attack_1,isolation_forest
byte_var_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6525708793849111,0.9900472474211284,0.7104588684785944,0.05846979679047193,-0.003645680576418786,-0.0830637147374601,12,road,reverse_light_off_attack_1,isolation_forest
byte_max_change_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.5560335996721983,0.9901882771019012,0.7385070627393393,0.15500707650318468,-0.0037867102571915723,-0.111111908998205,13,road,reverse_light_off_attack_1,isolation_forest
byte_mean_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6114221724524076,0.992835791339511,0.7819802833823372,0.09961850372297543,-0.006434224494801466,-0.15458512964120286,14,road,reverse_light_off_attack_1,isolation_forest
