experiment,dataset,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,threshold,n_train_normals,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,tp,fp,fn,tn,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std,protocol_version,phase
baseline,Fuzzy,residual,elliptic_envelope,0,0.2551841912661625,0.8070987654320988,0.3877664504170529,0.9346157988925228,0.6917365713089767,0.1573792463529048,527.7012985218732,7884,0.2324648999997407,0.003586599999835,0.2360514999995757,344.875,66831,1046,3053,250,16346,0.2551841912661625,0.228184698269759,0.2879671090102329,0.2561297495882654,0.015414407188851,0.8070987654320988,0.7737897761187493,0.8429752606156206,0.8065876283922044,0.0173778794097975,0.3877664504170529,0.3561849382045127,0.4238385472540402,0.3884732458583761,0.0174112982116519,0.9346157988925228,0.9232045497411168,0.9454153065202436,0.934788851663816,0.0055780977222515,0.6917365713089767,0.6641244409169902,0.7233128160948086,0.6923082265622054,0.0153261584570245,0.1573792463529048,0.1318301572286018,0.1836601437269664,0.1565325230825813,0.0136510855219081,hcrl_temporal_v1,A
baseline,Fuzzy,residual,autoencoder,0,0.2307838299487568,0.9382716049382716,0.3704493526275704,0.9375635612501344,0.6294382038226399,0.2089282952729522,0.002663791906716,7884,0.6788966999997683,0.0072809999996934,0.6861776999994618,343.19921875,18610,1216,4053,80,15346,0.2307838299487568,0.2090504085940461,0.256740427227252,0.2313907485749866,0.0124336320738037,0.9382716049382716,0.9214610873275288,0.9536034245903248,0.937914029664106,0.008212395794166,0.3704493526275704,0.3420527884462008,0.4031582785396825,0.3710162467895824,0.0158170075598516,0.9375635612501344,0.9263646588395722,0.9477002708039574,0.9377289791318058,0.0052400723557481,0.6294382038226399,0.6001608266690005,0.6616534168594682,0.6307414662173492,0.0153778877323222,0.2089282952729522,0.1797286058775305,0.2398838837963894,0.2079273288526164,0.0152466132307347,hcrl_temporal_v1,A
baseline,RPM,residual,isolation_forest,0,0.9842315369261476,0.9993919740575598,0.9917538213998393,0.998832082287538,0.9910135815797572,0.0042086196792925,0.6268439411854895,7304,0.2844571999999061,0.1951343000000633,0.4795914999999695,345.125,1958047,4931,79,3,18692,0.9842315369261476,0.9797808871967678,0.9887685049024124,0.9842902311687136,0.0023261505279583,0.9993919740575598,0.9984742817089012,1.0,0.9993872969275004,0.0003668907290943,0.9917538213998393,0.989492053663344,0.99412341306988,0.9917798911108022,0.0011923848327965,0.998832082287538,0.9983163750078026,0.9992687513165854,0.9988164534866631,0.0002454612236822,0.9910135815797572,0.9857366973205076,0.9951615057220612,0.9909322767409032,0.0025476015943198,0.0042086196792925,0.0028930341851069,0.0053705944230686,0.0041902143932187,0.0006537466195171,hcrl_temporal_v1,A
baseline,RPM,residual,one_class_svm,0,0.8064727034978751,1.0,0.8928700687658343,0.9998668158329338,0.998987649321725,0.0630760215225613,10.90415049254523,7304,0.0443491000005451,0.354053500000191,0.3984026000007361,345.4765625,31994,4934,1184,0,17587,0.8064727034978751,0.7908118822189754,0.8200858901927173,0.8062284607406162,0.0078530992291259,1.0,1.0,1.0,1.0,0.0,0.8928700687658343,0.8831881107241859,0.9011507583836948,0.8926994098109344,0.0048186366174543,0.9998668158329338,0.9997568942297468,0.999973030590828,0.9998657206101162,5.79943301968882e-05,0.998987649321725,0.9981035661431816,0.9997853905711188,0.998981183957828,0.0004325926179766,0.0630760215225613,0.0610858187738791,0.0648665792818111,0.0630132567307273,0.0009979090728039,hcrl_temporal_v1,A
baseline,RPM,residual,lof,0,0.8268811798223563,1.0,0.9052380515549032,0.9998522071439966,0.9994785045282168,0.0550316978317617,13.101643044004708,7304,0.2767975999995542,1.009950000000572,1.286747600000126,350.71875,2514956,4934,1033,0,17738,0.8268811798223563,0.8090064488882805,0.8432903246688276,0.8267568810653149,0.0089343040180556,1.0,1.0,1.0,1.0,0.0,0.9052380515549032,0.894420745385532,0.9149837256017438,0.905137348127657,0.0053595802139659,0.9998522071439966,0.9997033640740892,0.999954060045772,0.9998499892267958,6.462559337821681e-05,0.9994785045282168,0.9988996889461804,0.9998339975886782,0.99946778659741,0.0002342693051779,0.0550316978317617,0.0520514356619483,0.0579650289347512,0.0549265723371303,0.0015569992526926,hcrl_temporal_v1,A
baseline,RPM,residual,hbos,0,0.9543520309477757,1.0,0.9766429136975456,0.9999988662879984,0.9999957230013246,0.012572585371051,23.13903550651263,7304,0.0024587000007159,0.0067765999992843,0.0092353000000002,346.73046875,3711,4934,236,0,18535,0.9543520309477757,0.947705682176988,0.9615199869870458,0.9544721845485494,0.0036247318536991,1.0,1.0,1.0,1.0,0.0,0.9766429136975456,0.9731508110787604,0.9803825536137372,0.9767023062227672,0.0018978014308573,0.9999988662879984,0.9999970183269296,0.999999967527869,0.9999988814068016,7.743101391312765e-07,0.9999957230013246,0.9999888732065836,0.9999998741767696,0.999995758337364,2.9499523316849177e-06,0.012572585371051,0.010424040768473,0.0146227503937187,0.0125202999946573,0.0010735227969622,hcrl_temporal_v1,A
baseline,RPM,residual,elliptic_envelope,0,0.948481353325644,1.0,0.973559589581689,1.0,1.0,0.0142773427094986,1713.5647506460496,7304,0.2468622999995204,0.0068725000000995,0.25373479999962,348.4375,66831,4934,268,0,18503,0.948481353325644,0.936905219099568,0.9600479186211937,0.9487559645602024,0.0058691249879941,1.0,1.0,1.0,1.0,0.0,0.973559589581689,0.9674249513371744,0.9796167833317632,0.9736949144022706,0.00309368276962,1.0,1.0,1.0,1.0,4.370952418903846e-17,1.0,1.0,1.0,1.0,1.6653345369377347e-17,0.0142773427094986,0.0107336328139185,0.0180539923445214,0.0141935907315666,0.0018245726815745,hcrl_temporal_v1,A
baseline,RPM,residual,autoencoder,0,0.8117801908522541,1.0,0.8961133309117326,1.0,1.0,0.0609450748495018,3.2974848146679783,7304,0.6637016000004223,0.0086534000001847,0.6723550000006071,348.81640625,18610,4934,1144,0,17627,0.8117801908522541,0.7966918465462727,0.825845239890973,0.8115160579493105,0.0075793125846739,1.0,1.0,1.0,1.0,0.0,0.8961133309117326,0.8868430581252176,0.9046169103188852,0.8959330325938819,0.0046232488190021,1.0,1.0,1.0,1.0,4.191000011072726e-17,1.0,1.0,1.0,1.0,2.001483021243361e-17,0.0609450748495018,0.0591428099639741,0.0625493326454517,0.0608940115559063,0.0009054366064048,hcrl_temporal_v1,A
baseline,gear,residual,isolation_forest,0,0.898961937716263,0.9975043194471108,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.0315795165738387,0.5317229291254862,7311,0.2511393000004318,0.1554667999998855,0.4066061000003174,352.140625,1762511,5196,584,13,17909,0.898961937716263,0.8860736943383746,0.9119507744773075,0.8992712394107193,0.0064923433306556,0.9975043194471108,0.9950057351552606,0.9992441445742272,0.9973834818374686,0.0011320521016747,0.9456729456729456,0.9380728498779934,0.952609640797853,0.9457772578756146,0.0036403314055411,0.9994354201275768,0.9991187924093134,0.9996824138347772,0.999439084233522,0.000140642799478,0.9955142447665496,0.9915756993453576,0.9985661903060336,0.9956616262164252,0.0017987075280256,0.0315795165738387,0.0267246840391711,0.0353888364338822,0.0313830349173829,0.0023107752023491,hcrl_temporal_v1,A
baseline,gear,residual,one_class_svm,0,0.9135391090845316,1.0,0.9548162404912474,0.9994592548531878,0.9961751768980684,0.0266587357378467,2.992493590681144,7311,0.0429904000002352,0.3114243999998507,0.3544148000000859,348.046875,32650,5209,493,0,18000,0.9135391090845316,0.9027624643644254,0.9243965000940628,0.9133794071356368,0.0056490177996231,1.0,1.0,1.0,1.0,0.0,0.9548162404912474,0.9488966501803734,0.9607131379090036,0.9547198898109605,0.0030868494821908,0.9994592548531878,0.9990410445926488,0.9998098903199272,0.9994643711954608,0.0002036655195179,0.9961751768980684,0.993257151113559,0.9986385488104546,0.9962056131458862,0.0014349647462765,0.0266587357378467,0.0234476562588054,0.029714574047628,0.0266152121084517,0.0016227072512627,hcrl_temporal_v1,A
