corpus,dataset,capture,attack_type,representation,detector,n_seeds,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,fpr_mean,fpr_std,fpr_ci95_low,fpr_ci95_high,protocol_version,phase
hcrl,RPM,RPM,RPM,residual,isolation_forest,5,0.9832576603711052,0.0030948781664114,0.980544880049932,0.985970440692278,0.9993514389947304,0.0001695703337118,0.9992028040438168,0.999500073945644,0.9912371186970408,0.0015197610153916,0.9899049894325728,0.992569247961509,0.9994113572936132,0.0003592291725224,0.9990964790407026,0.9997262355465236,0.9952938946766844,0.0027668992238244,0.99286860057415,0.9977191887792184,0.0044749880134249,0.0008423306324032,0.0037366526604199,0.0052133233664299,hcrl_temporal_v1,C
hcrl,RPM,RPM,RPM,residual,lof,5,0.8371180023229698,0.0091863757944995,0.8290657889115728,0.8451702157343669,1.0,0.0,1.0,1.0,0.911316518676653,0.0054459014324404,0.9065429756023864,0.9160900617509194,0.9998568262106092,7.415500878785146e-06,0.9998503262375008,0.9998633261837178,0.9994933528415746,2.400749712646953e-05,0.9994723093425212,0.999514396340628,0.051174684353524,0.003448950521081,0.0481515459295851,0.0541978227774629,hcrl_temporal_v1,C
hcrl,RPM,RPM,RPM,residual,one_class_svm,5,0.8057633471601775,0.0013611923427977,0.80457020946547,0.806956484854885,1.0,0.0,1.0,1.0,0.8924346521625062,0.0008353978743619,0.8917023936398559,0.8931669106851564,0.9998668158329338,0.0,0.9998668158329338,0.9998668158329338,0.9989876493217252,1.2412670766236366e-16,0.998987649321725,0.9989876493217252,0.0633636993234244,0.0005518390778361,0.0628799910446768,0.0638474076021719,hcrl_temporal_v1,C
hcrl,gear,gear,gear,raw,autoencoder,5,0.0072463768115942,0.0162033911413028,-0.0069565217391304,0.0214492753623188,0.0001919754271453,0.0004292701051065,-0.0001842964100595,0.0005682472643501,0.0003740415186085,0.000836382262016,-0.0003590798578642,0.0011071628950813,0.9390105850369392,0.0611510161977523,0.8854093560252843,0.9926118140485942,0.695995637454071,0.1443416549939573,0.5694745984539572,0.8225166764541848,0.0104904558481587,0.0030083125605799,0.0078535536260136,0.0131273580703038,hcrl_temporal_v1,C
hcrl,gear,gear,gear,raw,elliptic_envelope,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.737761136746994,0.0828488427824845,0.6651409241740133,0.8103813493199746,0.3252061869334855,0.0749943881526593,0.2594707073960678,0.3909416664709032,0.0197480127615854,0.0111706351855506,0.0099565193079024,0.0295395062152684,hcrl_temporal_v1,C
hcrl,gear,gear,gear,raw,hbos,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5783916962473502,0.0,0.5783916962473502,0.5783916962473502,0.2629738770507687,0.0,0.2629738770507687,0.2629738770507687,0.0030822473368301,0.0,0.0030822473368301,0.0030822473368301,hcrl_temporal_v1,C
hcrl,gear,gear,gear,raw,isolation_forest,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74293999284979,0.051866545498117,0.6974769612249748,0.7884030244746051,0.3228973964943055,0.048582544605332,0.2803129185693898,0.3654818744192212,0.0072567998702211,0.0008441514969086,0.0065168684591059,0.0079967312813364,hcrl_temporal_v1,C
hcrl,gear,gear,gear,raw,lof,5,0.9611119204953892,0.0032657411835126,0.9582493721363534,0.9639744688544252,0.2268765598003455,0.0319272508472971,0.1988910905344818,0.2548620290662092,0.3662319974298623,0.0422828427892187,0.3291694516124793,0.4032945432472452,0.9614038682451664,0.0020101718381213,0.9596418749415804,0.9631658615487524,0.8761433881315934,0.0056230862927442,0.8712145356795754,0.8810722405836114,0.0025631319958903,0.0001896466545909,0.002396899373833,0.0027293646179476,hcrl_temporal_v1,C
hcrl,gear,gear,gear,raw,one_class_svm,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396349904858856,0.0074145241452894,0.9331358735220908,0.9461341074496804,0.669638412487342,0.0115844965244675,0.6594841535755247,0.6797926713991593,0.0099929703130914,0.0019584382811639,0.0082763234715345,0.0117096171546482,hcrl_temporal_v1,C
hcrl,gear,gear,gear,residual,autoencoder,5,0.9095778048696096,0.033547316391595,0.8801722855432041,0.9389833241960148,1.0,0.0,1.0,1.0,0.952386963939621,0.0185801731308575,0.9361007241191304,0.9686732037601116,0.9999984366247052,6.791413248089092e-08,0.9999983770953434,0.999998496154067,0.999994452119641,2.3898511932544644e-07,0.999994242639948,0.999994661599334,0.0283458605959011,0.0116741730111214,0.0181129967777884,0.0385787244140138,hcrl_temporal_v1,C
