corpus,dataset,capture,attack_type,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,protocol_version,phase
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,lof,1,0.0984006885646229,1.0,0.1791708428246013,0.8542455706501996,0.1870829733314933,0.6682640238565049,0.3864388000001781,7.434312500001397,7.820751300001575,592.6875,1551948,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,lof,2,0.0984006885646229,1.0,0.1791708428246013,0.8542455706501996,0.1870829733314933,0.6682640238565049,0.4823166000005585,7.66664910000145,8.148965700002009,592.71484375,1551948,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,lof,3,0.0984006885646229,1.0,0.1791708428246013,0.8542455706501996,0.1870829733314933,0.6682640238565049,0.3924143999993248,7.412594199999148,7.805008599998473,591.51953125,1551948,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,lof,4,0.0984006885646229,1.0,0.1791708428246013,0.8542455706501996,0.1870829733314933,0.6682640238565049,0.3870888000001287,7.190852100000484,7.577940900000613,590.12890625,1551948,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,hbos,0,0.1496499238964992,1.0,0.2603399883493089,0.9886105714619616,0.8609048457524776,0.4144325920211266,0.0101144000000203,0.0410221999991335,0.0511365999991539,588.62890625,3711,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,hbos,1,0.1496499238964992,1.0,0.2603399883493089,0.9886105714619616,0.8609048457524776,0.4144325920211266,0.0058497000009083,0.0525553000006766,0.0584050000015849,591.5703125,3711,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,hbos,2,0.1496499238964992,1.0,0.2603399883493089,0.9886105714619616,0.8609048457524776,0.4144325920211266,0.0053055000007589,0.0415202000003773,0.0468257000011362,590.4453125,3711,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,hbos,3,0.1496499238964992,1.0,0.2603399883493089,0.9886105714619616,0.8609048457524776,0.4144325920211266,0.0070095999999466,0.0519824000002699,0.0589920000002166,590.48828125,3711,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,hbos,4,0.1496499238964992,1.0,0.2603399883493089,0.9886105714619616,0.8609048457524776,0.4144325920211266,0.0094155999995564,0.0452406999993399,0.0546562999988964,590.48828125,3711,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,elliptic_envelope,0,0.1009943298545484,1.0,0.1834602179429765,0.8501132755195674,0.1832690748444026,0.6492292627924573,0.7173843000000488,0.0255241999984718,0.7429084999985207,591.30078125,44031,pre_injection_v1,C
