feature,method,f1_full,roc_auc_full,pr_auc_full,f1_without,roc_auc_without,pr_auc_without,delta_f1,delta_roc_auc,delta_pr_auc,rank,corpus,dataset,detector,protocol_version,phase
byte_entropy_res,lofo,0.4157258863141215,0.9665201242405748,0.5195795699045147,0.4793378995433791,0.96543624785507,0.5038533970909097,-0.0636120132292575,0.0010838763855048,0.015726172813605,10,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_nunique_res,lofo,0.4157258863141215,0.9665201242405748,0.5195795699045147,0.457516339869281,0.9724818970969152,0.5505088084587747,-0.0417904535551594,-0.0059617728563405,-0.0309292385542599,11,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_std_res,lofo,0.4157258863141215,0.9665201242405748,0.5195795699045147,0.4319316485665757,0.9733012750123664,0.5797591728846255,-0.0162057622524541,-0.0067811507717916,-0.0601796029801108,12,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_mean_res,lofo,0.4157258863141215,0.9665201242405748,0.5195795699045147,0.4443738753043294,0.9783061650430384,0.6395316662826134,-0.0286479889902078,-0.0117860408024635,-0.1199520963780986,13,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_var_res,lofo,0.4157258863141215,0.9665201242405748,0.5195795699045147,0.4789503707929264,0.9816660178032968,0.6761789390839898,-0.0632244844788048,-0.015145893562722,-0.1565993691794751,14,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_median_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.5005917159763313,0.9649304725325836,0.4000696660018111,0.2104489601990516,0.021471094312126,0.2273254877393232,1,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_min_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.534665455646382,0.9697910128464218,0.4545948556083459,0.176375220529001,0.0166105539982878,0.1728002981327884,2,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_max_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6375291375291375,0.9783829749365862,0.530815403322099,0.0735115386462454,0.0080185919081233,0.0965797504190353,3,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_std_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.7307692307692307,0.9789367408365676,0.538065061258879,-0.0197285545938477,0.0074648260081419,0.0893300924822553,4,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_mean_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6819571865443426,0.9816955754567164,0.5977486329955559,0.0290834896310404,0.0047059913879932,0.0296465207455783,5,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_entropy_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6545189504373178,0.9834600159103066,0.5961154077767165,0.0565217257380652,0.0029415509344029,0.0312797459644178,6,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
window_fill_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.671181339352897,0.9836589498118264,0.5975055575436717,0.0398593368224859,0.0027426170328831,0.0298895961974625,7,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_nunique_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6825678761735601,0.9845564790004548,0.6088522487140604,0.0284728000018229,0.0018450878442548,0.0185429050270738,8,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
dlc_mode_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6547475235564146,0.9879563350962136,0.6734447515869367,0.0562931526189683,-0.0015547682515039,-0.0460495978458024,9,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
dlc_std_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6547475235564146,0.9879563350962136,0.6734447515869367,0.0562931526189683,-0.0015547682515039,-0.0460495978458024,10,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
time_since_last_seen_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6918335901386748,0.9889634775529318,0.6586490586279361,0.0192070860367081,-0.0025619107082222,-0.0312539048868018,11,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_var_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6525708793849111,0.9900472474211284,0.7104588684785944,0.0584697967904719,-0.0036456805764187,-0.0830637147374601,12,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_max_change_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.5560335996721983,0.9901882771019012,0.7385070627393393,0.1550070765031846,-0.0037867102571915,-0.111111908998205,13,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_mean_res,lofo,0.711040676175383,0.9864015668447096,0.6273951537411343,0.6114221724524076,0.992835791339511,0.7819802833823372,0.0996185037229754,-0.0064342244948014,-0.1545851296412028,14,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
