experiment,dataset,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,threshold,n_train_normals,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,tp,fp,fn,tn,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std,protocol_version,phase
representation,Fuzzy,residual,lof,0,0.6040992448759439,0.4320987654320987,0.5038236617183987,0.8385513619449647,0.5548798633585252,0.0189185009536574,116.66059972340209,7884,0.1946670000002086,0.912134799999876,1.1068018000000848,345.1328125,2514956,560,367,736,19032,0.6040992448759439,0.5398967238324432,0.6591657358869548,0.6013553521776397,0.0299743995871511,0.4320987654320987,0.3895539667759606,0.4709427964640822,0.4304976675605242,0.0209554301645053,0.5038236617183987,0.4579552094510608,0.5389582029891368,0.5014480309990605,0.0210265052739925,0.8385513619449647,0.817013668026078,0.8563040910366132,0.8382367774832409,0.0098983329837424,0.5548798633585252,0.5128756715564681,0.5923553943308211,0.5536006976764087,0.0206481034617129,0.0189185009536574,0.0163711400996937,0.0217549603079506,0.018968260745227,0.0013624441068197,hcrl_temporal_v1,A
representation,Fuzzy,residual,hbos,0,0.2861325525685387,0.8294753086419753,0.4254898080348308,0.911919420881438,0.5566752385166889,0.1382545492035672,4.615779430475199,7884,0.0022190999998201,0.0038091999999778,0.006028299999798,344.23046875,3711,1075,2682,221,16717,0.2861325525685387,0.2544069395373907,0.3271413875323151,0.28783197711712,0.0177989282621028,0.8294753086419753,0.7884193276691505,0.8635627171864426,0.8295489725833503,0.0188574888639972,0.4254898080348308,0.3919151559700441,0.4677320990525884,0.4269352205307468,0.0186770216129015,0.911919420881438,0.8986207536841694,0.924721207431946,0.912317665208781,0.0067800551241938,0.5566752385166889,0.5222026880630549,0.6003010749737137,0.5593833183936908,0.0193540617453508,0.1382545492035672,0.1121807868509707,0.162103867266516,0.1371922592090761,0.0124725845366473,hcrl_temporal_v1,A
representation,Fuzzy,residual,elliptic_envelope,0,0.2551841912661625,0.8070987654320988,0.3877664504170529,0.9346157988925228,0.6917365713089767,0.1573792463529048,527.7012985218732,7884,0.2324648999997407,0.003586599999835,0.2360514999995757,344.875,66831,1046,3053,250,16346,0.2551841912661625,0.228184698269759,0.2879671090102329,0.2561297495882654,0.015414407188851,0.8070987654320988,0.7737897761187493,0.8429752606156206,0.8065876283922044,0.0173778794097975,0.3877664504170529,0.3561849382045127,0.4238385472540402,0.3884732458583761,0.0174112982116519,0.9346157988925228,0.9232045497411168,0.9454153065202436,0.934788851663816,0.0055780977222515,0.6917365713089767,0.6641244409169902,0.7233128160948086,0.6923082265622054,0.0153261584570245,0.1573792463529048,0.1318301572286018,0.1836601437269664,0.1565325230825813,0.0136510855219081,hcrl_temporal_v1,A
representation,Fuzzy,residual,autoencoder,0,0.2307838299487568,0.9382716049382716,0.3704493526275704,0.9375635612501344,0.6294382038226399,0.2089282952729522,0.002663791906716,7884,0.6788966999997683,0.0072809999996934,0.6861776999994618,343.19921875,18610,1216,4053,80,15346,0.2307838299487568,0.2090504085940461,0.256740427227252,0.2313907485749866,0.0124336320738037,0.9382716049382716,0.9214610873275288,0.9536034245903248,0.937914029664106,0.008212395794166,0.3704493526275704,0.3420527884462008,0.4031582785396825,0.3710162467895824,0.0158170075598516,0.9375635612501344,0.9263646588395722,0.9477002708039574,0.9377289791318058,0.0052400723557481,0.6294382038226399,0.6001608266690005,0.6616534168594682,0.6307414662173492,0.0153778877323222,0.2089282952729522,0.1797286058775305,0.2398838837963894,0.2079273288526164,0.0152466132307347,hcrl_temporal_v1,A
representation,RPM,raw,isolation_forest,0,0.0,0.0,0.0,0.8547210693810798,0.4309379217232606,0.0034095146768952,0.7643771555246353,7304,0.3416462000000138,0.1996341999997639,0.5412803999997777,343.70703125,2440111,0,64,4934,18707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8547210693810798,0.8451349172941335,0.8633618321004404,0.8546459150460811,0.005023438193423,0.4309379217232606,0.4113961334242509,0.4495334857651251,0.4309484604589482,0.0094364851809886,0.0034095146768952,0.0024081987711335,0.0042545284298292,0.0032923525275605,0.0004719180285529,hcrl_temporal_v1,A
representation,RPM,raw,one_class_svm,0,0.0,0.0,0.0,0.9754712122773797,0.7760450958669509,0.0101219966970326,16.073653121740875,7304,0.0380642999998599,0.2896620999999868,0.3277263999998467,342.7734375,29482,0,190,4934,18581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754712122773797,0.972769967156276,0.978670158611948,0.975642434626654,0.0015881183547542,0.7760450958669509,0.753443826433052,0.7995527718210345,0.7769342564880205,0.0118358341969326,0.0101219966970326,0.0081108633452386,0.0118820252212526,0.0100563543991099,0.0009686322389057,hcrl_temporal_v1,A
representation,RPM,raw,lof,0,0.0035180299032541,0.0008107012565869,0.00131774007577,0.7371769344587271,0.3038414164583097,0.0603590645144105,333.95240280119305,7304,0.054395800000293,0.1670562999997855,0.2214521000000786,347.6953125,2514956,4,1133,4930,17638,0.0035180299032541,0.0,0.0077868234811858,0.0033289480873994,0.0019429487028928,0.0008107012565869,0.0,0.0017585395613819,0.0007694686922965,0.0004499842142665,0.00131774007577,0.0,0.0028870370627411,0.0012495818886758,0.0007300195127144,0.7371769344587271,0.7261688821898789,0.7472996507677124,0.737323345128059,0.0051993603809115,0.3038414164583097,0.2826532528864536,0.3243897112705485,0.3037558452977703,0.0104934831640653,0.0603590645144105,0.0586248636254267,0.0621892933417204,0.0603499261844712,0.0009089815809404,hcrl_temporal_v1,A
representation,RPM,raw,hbos,0,0.0,0.0,0.0,0.6157699836121391,0.375838655071408,0.0095359863619412,33.9947947091975,7304,0.002417300000161,0.005531300000257,0.007948600000418,344.23046875,3855,0,179,4934,18592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6157699836121391,0.6062843111855033,0.6268196990734639,0.6158684504679112,0.0053295273192739,0.375838655071408,0.3538139886782961,0.3973226401184522,0.3757516217660209,0.0109513838496759,0.0095359863619412,0.0077017036415471,0.0112183546380387,0.0094632578092851,0.0009334426044799,hcrl_temporal_v1,A
representation,RPM,raw,elliptic_envelope,0,0.0,0.0,0.0,0.8467874175761683,0.4141016234235234,0.0123062170369186,2375.0677520567297,7304,0.2140128000000913,0.0039212000001498,0.2179340000002412,347.1796875,66831,0,231,4934,18540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8467874175761683,0.8314829614260882,0.8613535767168827,0.8468731203673502,0.0079669336002737,0.4141016234235234,0.3970037574306176,0.4318374860816338,0.4141987677697354,0.008955435368717,0.0123062170369186,0.0093743452450835,0.0154922417801694,0.0122024628797906,0.0016201984116823,hcrl_temporal_v1,A
representation,RPM,raw,autoencoder,0,0.9501067753834208,0.9918929874341306,0.9705503222607832,0.9940596406366176,0.9164750311300816,0.0136913323744073,0.2670610435240734,7304,0.9277727999997296,0.0133141999999679,0.9410869999996976,344.765625,18610,4894,257,40,18514,0.9501067753834208,0.9417702685223318,0.9577723710380746,0.9502628199471927,0.0042669960592566,0.9918929874341306,0.9845353020492577,0.9970474903023084,0.9918282346729894,0.0033370565618003,0.9705503222607832,0.9650917714521012,0.9759239063787576,0.9705937676559574,0.0028603739197714,0.9940596406366176,0.9926841929247568,0.9954229355528016,0.9941094156835432,0.0007589720643603,0.9164750311300816,0.9015541427036844,0.9310273733908396,0.917110028278108,0.0081616348271047,0.0136913323744073,0.0113988137017284,0.0160345789693423,0.0136232734590391,0.0012101695073099,hcrl_temporal_v1,A
representation,RPM,residual,isolation_forest,0,0.9842315369261476,0.9993919740575598,0.9917538213998393,0.998832082287538,0.9910135815797572,0.0042086196792925,0.6268439411854895,7304,0.2844571999999061,0.1951343000000633,0.4795914999999695,345.125,1958047,4931,79,3,18692,0.9842315369261476,0.9797808871967678,0.9887685049024124,0.9842902311687136,0.0023261505279583,0.9993919740575598,0.9984742817089012,1.0,0.9993872969275004,0.0003668907290943,0.9917538213998393,0.989492053663344,0.99412341306988,0.9917798911108022,0.0011923848327965,0.998832082287538,0.9983163750078026,0.9992687513165854,0.9988164534866631,0.0002454612236822,0.9910135815797572,0.9857366973205076,0.9951615057220612,0.9909322767409032,0.0025476015943198,0.0042086196792925,0.0028930341851069,0.0053705944230686,0.0041902143932187,0.0006537466195171,hcrl_temporal_v1,A
representation,RPM,residual,one_class_svm,0,0.8064727034978751,1.0,0.8928700687658343,0.9998668158329338,0.998987649321725,0.0630760215225613,10.90415049254523,7304,0.0443491000005451,0.354053500000191,0.3984026000007361,345.4765625,31994,4934,1184,0,17587,0.8064727034978751,0.7908118822189754,0.8200858901927173,0.8062284607406162,0.0078530992291259,1.0,1.0,1.0,1.0,0.0,0.8928700687658343,0.8831881107241859,0.9011507583836948,0.8926994098109344,0.0048186366174543,0.9998668158329338,0.9997568942297468,0.999973030590828,0.9998657206101162,5.79943301968882e-05,0.998987649321725,0.9981035661431816,0.9997853905711188,0.998981183957828,0.0004325926179766,0.0630760215225613,0.0610858187738791,0.0648665792818111,0.0630132567307273,0.0009979090728039,hcrl_temporal_v1,A
representation,RPM,residual,lof,0,0.8268811798223563,1.0,0.9052380515549032,0.9998522071439966,0.9994785045282168,0.0550316978317617,13.101643044004708,7304,0.2767975999995542,1.009950000000572,1.286747600000126,350.71875,2514956,4934,1033,0,17738,0.8268811798223563,0.8090064488882805,0.8432903246688276,0.8267568810653149,0.0089343040180556,1.0,1.0,1.0,1.0,0.0,0.9052380515549032,0.894420745385532,0.9149837256017438,0.905137348127657,0.0053595802139659,0.9998522071439966,0.9997033640740892,0.999954060045772,0.9998499892267958,6.462559337821681e-05,0.9994785045282168,0.9988996889461804,0.9998339975886782,0.99946778659741,0.0002342693051779,0.0550316978317617,0.0520514356619483,0.0579650289347512,0.0549265723371303,0.0015569992526926,hcrl_temporal_v1,A
