detected,delay_frames,delay_ms,attack_start_idx,detect_idx,n_attack_windows,missed,corpus,dataset,detector,representation,median_delay_ms,worst_delay_ms,n_segments,n_detected_segments,capture
True,0.0,0.0,4352.0,4352.0,4934.0,False,hcrl,RPM,lof,residual,,,,,
True,0.0,0.0,,,,,hcrl,RPM,lof,residual,0.0,0.0,3163.0,3163.0,
True,0.0,0.0,4352.0,4352.0,4934.0,False,hcrl,RPM,hbos,residual,,,,,
True,0.0,0.0,,,,,hcrl,RPM,hbos,residual,0.0,0.0,3163.0,3163.0,
True,0.0,0.0,4352.0,4352.0,4934.0,False,hcrl,RPM,elliptic_envelope,residual,,,,,
True,0.0,0.0,,,,,hcrl,RPM,elliptic_envelope,residual,0.0,0.0,3163.0,3163.0,
True,0.0,0.0,4352.0,4352.0,4934.0,False,hcrl,RPM,autoencoder,residual,,,,,
True,0.0,0.0,,,,,hcrl,RPM,autoencoder,residual,0.0,0.0,3163.0,3163.0,
True,0.0,0.0,3656.0,3656.0,5209.0,False,hcrl,gear,isolation_forest,residual,,,,,
True,0.0,0.0,,,,,hcrl,gear,isolation_forest,residual,0.0,0.0,3459.0,3446.0,
True,0.0,0.0,3656.0,3656.0,5209.0,False,hcrl,gear,one_class_svm,residual,,,,,
True,0.0,0.0,,,,,hcrl,gear,one_class_svm,residual,0.0,0.0,3459.0,3459.0,
True,23.0,9.630918502807617,3656.0,3679.0,5209.0,False,hcrl,gear,lof,residual,,,,,
True,0.00029036004645760743,7.843445125495654e-05,,,,,hcrl,gear,lof,residual,0.0,0.2701282501220703,3459.0,3444.0,
True,0.0,0.0,3656.0,3656.0,5209.0,False,hcrl,gear,hbos,residual,,,,,
True,0.0,0.0,,,,,hcrl,gear,hbos,residual,0.0,0.0,3459.0,3448.0,
True,0.0,0.0,3656.0,3656.0,5209.0,False,hcrl,gear,elliptic_envelope,residual,,,,,
True,0.0,0.0,,,,,hcrl,gear,elliptic_envelope,residual,0.0,0.0,3459.0,3459.0,
True,0.0,0.0,3656.0,3656.0,5209.0,False,hcrl,gear,autoencoder,residual,,,,,
True,0.0,0.0,,,,,hcrl,gear,autoencoder,residual,0.0,0.0,3459.0,3459.0,
True,10.0,6.076931953430176,0.0,10.0,4201.0,False,road,correlated_signal_attack,isolation_forest,residual,,,,,correlated_signal_attack_1
True,9.0,5.0449371337890625,0.0,9.0,4201.0,False,road,correlated_signal_attack,one_class_svm,residual,,,,,correlated_signal_attack_1
True,0.0,0.0,0.0,0.0,4201.0,False,road,correlated_signal_attack,lof,residual,,,,,correlated_signal_attack_1
True,10.0,6.076931953430176,0.0,10.0,4201.0,False,road,correlated_signal_attack,hbos,residual,,,,,correlated_signal_attack_1
True,41.0,19.97697353363037,0.0,41.0,4201.0,False,road,correlated_signal_attack,elliptic_envelope,residual,,,,,correlated_signal_attack_1
True,10.0,6.076931953430176,0.0,10.0,4201.0,False,road,correlated_signal_attack,autoencoder,residual,,,,,correlated_signal_attack_1
True,6.0,2.043008804321289,0.0,6.0,9969.0,False,road,fuzzing_attack,isolation_forest,residual,,,,,fuzzing_attack_1
True,2.0,1.0010004043579102,0.0,2.0,9969.0,False,road,fuzzing_attack,one_class_svm,residual,,,,,fuzzing_attack_1
True,2.0,1.0010004043579102,0.0,2.0,9969.0,False,road,fuzzing_attack,lof,residual,,,,,fuzzing_attack_1
True,3.0,1.0030269622802734,0.0,3.0,9969.0,False,road,fuzzing_attack,hbos,residual,,,,,fuzzing_attack_1
True,138.0,57.84893035888672,0.0,138.0,9969.0,False,road,fuzzing_attack,elliptic_envelope,residual,,,,,fuzzing_attack_1
True,2.0,1.0010004043579102,0.0,2.0,9969.0,False,road,fuzzing_attack,autoencoder,residual,,,,,fuzzing_attack_1
True,0.0,0.0,0.0,0.0,102.0,False,road,max_engine_coolant_temp_attack,isolation_forest,residual,,,,,max_engine_coolant_temp_attack
True,0.0,0.0,0.0,0.0,102.0,False,road,max_engine_coolant_temp_attack,one_class_svm,residual,,,,,max_engine_coolant_temp_attack
True,0.0,0.0,0.0,0.0,102.0,False,road,max_engine_coolant_temp_attack,lof,residual,,,,,max_engine_coolant_temp_attack
True,0.0,0.0,0.0,0.0,102.0,False,road,max_engine_coolant_temp_attack,hbos,residual,,,,,max_engine_coolant_temp_attack
True,0.0,0.0,0.0,0.0,102.0,False,road,max_engine_coolant_temp_attack,elliptic_envelope,residual,,,,,max_engine_coolant_temp_attack
True,0.0,0.0,0.0,0.0,102.0,False,road,max_engine_coolant_temp_attack,autoencoder,residual,,,,,max_engine_coolant_temp_attack
True,0.0,0.0,24.0,24.0,4916.0,False,road,max_speedometer_attack,isolation_forest,residual,,,,,max_speedometer_attack_1
True,0.0,0.0,24.0,24.0,4916.0,False,road,max_speedometer_attack,one_class_svm,residual,,,,,max_speedometer_attack_1
True,0.0,0.0,24.0,24.0,4916.0,False,road,max_speedometer_attack,lof,residual,,,,,max_speedometer_attack_1
True,0.0,0.0,24.0,24.0,4916.0,False,road,max_speedometer_attack,hbos,residual,,,,,max_speedometer_attack_1
True,0.0,0.0,24.0,24.0,4916.0,False,road,max_speedometer_attack,elliptic_envelope,residual,,,,,max_speedometer_attack_1
True,0.0,0.0,24.0,24.0,4916.0,False,road,max_speedometer_attack,autoencoder,residual,,,,,max_speedometer_attack_1
True,154.0,59.96108055114746,0.0,154.0,1373.0,False,road,reverse_light_off_attack,isolation_forest,residual,,,,,reverse_light_off_attack_1
True,0.0,0.0,0.0,0.0,1373.0,False,road,reverse_light_off_attack,one_class_svm,residual,,,,,reverse_light_off_attack_1
True,0.0,0.0,0.0,0.0,1373.0,False,road,reverse_light_off_attack,lof,residual,,,,,reverse_light_off_attack_1
True,0.0,0.0,0.0,0.0,1373.0,False,road,reverse_light_off_attack,hbos,residual,,,,,reverse_light_off_attack_1
True,0.0,0.0,0.0,0.0,1373.0,False,road,reverse_light_off_attack,elliptic_envelope,residual,,,,,reverse_light_off_attack_1
True,0.0,0.0,0.0,0.0,1373.0,False,road,reverse_light_off_attack,autoencoder,residual,,,,,reverse_light_off_attack_1
True,18.0,7.004022598266602,0.0,18.0,4012.0,False,road,reverse_light_on_attack,isolation_forest,residual,,,,,reverse_light_on_attack_1
True,0.0,0.0,0.0,0.0,4012.0,False,road,reverse_light_on_attack,one_class_svm,residual,,,,,reverse_light_on_attack_1
True,0.0,0.0,0.0,0.0,4012.0,False,road,reverse_light_on_attack,lof,residual,,,,,reverse_light_on_attack_1
True,0.0,0.0,0.0,0.0,4012.0,False,road,reverse_light_on_attack,hbos,residual,,,,,reverse_light_on_attack_1
True,0.0,0.0,0.0,0.0,4012.0,False,road,reverse_light_on_attack,elliptic_envelope,residual,,,,,reverse_light_on_attack_1
True,0.0,0.0,0.0,0.0,4012.0,False,road,reverse_light_on_attack,autoencoder,residual,,,,,reverse_light_on_attack_1
