corpus,dataset,representation,detector,train_seconds,score_seconds,wall_seconds,n_test,windows_per_sec,frames_per_sec_est,peak_rss_mb,model_bytes,complexity_note,capture
hcrl,DoS,raw,isolation_forest,0.17235970000001544,0.10522130000026664,0.6330664999986766,23692,225163.53627963125,6754906.0883889375,520.359375,2365487,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,Fuzzy,residual,one_class_svm,0.025775899999644025,0.18341490000057092,0.5154791999993904,20695,112831.61836871259,3384948.551061378,527.421875,30010,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
hcrl,Fuzzy,residual,lof,0.12810320000062347,0.5110236000000441,0.9699774999990041,20695,40497.15120788592,1214914.5362365777,529.14453125,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
hcrl,Fuzzy,residual,hbos,0.0017735000001266599,0.003255100000387756,0.19941300000027695,20695,6357715.584017313,190731467.5205194,529.15625,3711,Train O(n d b); score O(d) — lightest,
hcrl,Fuzzy,residual,elliptic_envelope,0.17439310000008845,0.0030796999999438412,0.47473600000012084,20695,6719810.371262583,201594311.1378775,526.75390625,66831,Train robust cov ~O(n d^2); score O(d^2),
hcrl,Fuzzy,residual,autoencoder,0.41672529999959806,0.005097000001114793,0.717525599999135,20695,4060231.50784259,121806945.2352777,526.7578125,18610,Train O(epochs n d h); score O(d h),
hcrl,RPM,raw,isolation_forest,0.1686184999998659,0.11048810000102094,0.6412737999999081,23705,214547.99204421978,6436439.761326593,527.23828125,2440111,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,RPM,raw,one_class_svm,0.02577449999989767,0.21317240000098536,0.5835867999994662,23705,111201.0748102964,3336032.244308892,527.5234375,29482,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
hcrl,RPM,raw,lof,0.03915840000081516,0.11339840000073309,0.48414129999946454,23705,209041.75014679885,6271252.504403966,524.71484375,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
hcrl,RPM,raw,hbos,0.0017590000006748596,0.004068199999892386,0.2412430000003951,23705,5826901.332438685,174807039.97316056,527.05859375,3855,Train O(n d b); score O(d) — lightest,
hcrl,RPM,raw,elliptic_envelope,0.1774476999999024,0.003193100001226412,0.5078575000006822,23705,7423820.109265396,222714603.27796188,527.578125,66831,Train robust cov ~O(n d^2); score O(d^2),
hcrl,RPM,raw,autoencoder,0.4336003000007622,0.005943499998465995,0.7665820000001986,23705,3988390.679922303,119651720.39766909,528.10546875,18610,Train O(epochs n d h); score O(d h),
hcrl,RPM,residual,isolation_forest,0.16518949999954202,0.11112299999876996,0.6349116000001231,23705,213322.1745296869,6399665.235890606,528.25,1958047,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,RPM,residual,one_class_svm,0.046905199998946046,0.22724809999999707,0.5993513000012172,23705,104313.30338955663,3129399.101686699,528.3984375,31994,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
hcrl,RPM,residual,lof,0.18702370000028168,0.7817307999994227,1.366272699999172,23705,30323.7380438605,909712.141315815,525.984375,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
hcrl,RPM,residual,hbos,0.0017800000005081529,0.0047207000006892486,0.2780271999999968,23705,5021501.047840138,150645031.43520415,527.98046875,3711,Train O(n d b); score O(d) — lightest,
hcrl,RPM,residual,elliptic_envelope,0.1748318999998446,0.0030905000003258465,0.50240119999944,23705,7670279.8891767245,230108396.67530173,527.29296875,66831,Train robust cov ~O(n d^2); score O(d^2),
hcrl,RPM,residual,autoencoder,0.42871720000039204,0.0057793999985733535,0.7622315000007802,23705,4101636.8491282114,123049105.47384635,527.39453125,18610,Train O(epochs n d h); score O(d h),
hcrl,gear,raw,isolation_forest,0.1699953999996069,0.11248319999867817,0.646459200001118,23702,210715.91135634948,6321477.340690484,527.66015625,2398927,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,gear,raw,one_class_svm,0.025891299999784678,0.2147000000004482,0.5865791999985959,23702,110395.90125733825,3311877.0377201475,527.80078125,29754,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
