capture,attack_type,detector,delta_f1,delta_roc_auc,delta_pr_auc,delta_recall,raw_f1,residual_f1,raw_roc_auc,residual_roc_auc,residual_fpr,raw_fpr
fuzzing_attack_1,fuzzing_attack,one_class_svm,0.07711003229613919,-0.1433499576355065,-0.15138881050957653,0.2026281472564951,0.1768754901106561,0.2539855224067953,0.6103096999829072,0.4669597423474007,0.4018219370067124,0.0181824887511986
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,autoencoder,-0.33011728175679467,0.005280283459676016,0.6124213318571285,0.2647058823529411,0.5415162454873645,0.2113989637305699,0.994719716540324,1.0,0.0547876169906407,0.0071994240460763
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,elliptic_envelope,-0.3329094161316005,0.007548807860077167,0.6999083356557014,0.16666666666666663,0.5501618122977346,0.2172523961661341,0.9924511921399228,1.0,0.0529157667386609,0.0087832973362131
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,hbos,0.2639068564036222,0.1943886841993816,0.9782541718320471,1.0,0.0,0.2639068564036222,0.8056113158006184,1.0,0.0409647228221742,0.0121670266378689
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,isolation_forest,0.2659713168187744,0.023335309645816427,0.8682243848486901,1.0,0.0,0.2659713168187744,0.9766646903541836,1.0,0.0405327573794096,0.0095752339812814
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,lof,0.1783216783216783,0.23021852369457496,0.984332575550826,1.0,0.0,0.1783216783216783,0.769781476305425,1.0,0.0676745860331173,0.0118790496760259
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,one_class_svm,0.1447518914502895,0.005659311960925395,0.10530546176212832,0.9705882352941178,0.025531914893617,0.1702838063439065,0.9853054108612488,0.9909647228221742,0.0715622750179985,0.0093592512598992
max_speedometer_attack_1,max_speedometer_attack,autoencoder,0.17813432887621483,0.0803684623512313,0.05844197887236044,0.9991863303498779,0.0004864108956040615,0.1786207397718189,0.7803763433688581,0.8607448057200894,0.6707713306529383,0.17101612687862558
max_speedometer_attack_1,max_speedometer_attack,elliptic_envelope,0.14084183354186236,-0.08534128065685376,-0.1468001401310543,0.9688771358828315,0.04261838440111421,0.18346021794297657,0.9354545561764211,0.8501132755195674,0.6492292627924573,0.03131908075308221
max_speedometer_attack_1,max_speedometer_attack,hbos,0.2603399883493089,0.20583234658147864,0.7127390507614165,1.0,0.0,0.2603399883493089,0.7827782248804831,0.9886105714619617,0.41443259202112664,0.02913816892423186
max_speedometer_attack_1,max_speedometer_attack,isolation_forest,0.252659711157938,0.23640199428556508,0.7938088687152349,1.0,0.0,0.252659711157938,0.758709722594819,0.995111716880384,0.43146447487500555,0.03977567764046111
max_speedometer_attack_1,max_speedometer_attack,lof,0.17917084282460138,0.475379056908794,0.1373429310245431,1.0,0.0,0.17917084282460138,0.37886651374140556,0.8542455706501996,0.6682640238565049,0.00031155883269290684
max_speedometer_attack_1,max_speedometer_attack,one_class_svm,-0.28117558541476906,0.01724784277588931,0.027395465143303876,0.0006102522375915909,0.45604752622296485,0.1748719408081958,0.8378995542242442,0.8551473970001335,0.6882779698233016,0.1738349925077519
reverse_light_off_attack_1,reverse_light_off_attack,autoencoder,0.5429023329379201,0.09425708526838439,0.5204883032473431,1.0,0.0,0.5429023329379201,0.898301960791656,0.9925590460600404,0.0874035989717223,0.0345909572055043
reverse_light_off_attack_1,reverse_light_off_attack,elliptic_envelope,0.591937917654667,0.09438798239887902,0.4776044394212081,1.0,0.0,0.591937917654667,0.896323167338297,0.990711149737176,0.0715635868743384,0.0173143807651595
reverse_light_off_attack_1,reverse_light_off_attack,hbos,0.5566632756866734,0.2667447276871605,0.6849288207291974,0.9963583394027676,0.0,0.5566632756866734,0.7246441189521755,0.991388846639336,0.0821866021472856,0.0117949493422047
reverse_light_off_attack_1,reverse_light_off_attack,isolation_forest,0.711040676175383,0.20374738604983522,0.5293554395844886,0.9803350327749454,0.0,0.711040676175383,0.7826541807948744,0.9864015668447096,0.0403372145773476,0.0130802963859065
reverse_light_off_attack_1,reverse_light_off_attack,lof,0.48979432770478926,0.3023092770436392,0.6267738265071442,0.9963583394027677,0.0059630292188431,0.4957573569236324,0.689802339826132,0.9921116168697712,0.1055874792076213,0.0113034931196128
reverse_light_off_attack_1,reverse_light_off_attack,one_class_svm,0.5024702653247941,0.18081637847454235,0.6124098626992132,1.0,0.0,0.5024702653247941,0.808978326144546,0.9897947046190884,0.1027899591713292,0.0088462120066535
reverse_light_on_attack_1,reverse_light_on_attack,autoencoder,-0.17348304984319152,0.007345162294598473,0.12769535580415303,0.05529454282616564,0.8874554405024614,0.7139723906592699,0.9890000992575532,0.9963452615521516,0.0704570012076527,0.0162079705078497
reverse_light_on_attack_1,reverse_light_on_attack,elliptic_envelope,0.7695730774579335,0.14612748184368918,0.6406324674726063,1.0,0.0,0.7695730774579335,0.8502168034423192,0.9963442852860084,0.0526600139833471,0.0151592194749888
reverse_light_on_attack_1,reverse_light_on_attack,hbos,0.7571487207552332,0.1724849793414044,0.4818669788792705,1.0,0.0,0.7571487207552332,0.8142013691569868,0.9866863484983912,0.0564100934341829,0.0145871734570647
reverse_light_on_attack_1,reverse_light_on_attack,isolation_forest,0.7767017543859649,0.1936604446660274,0.6532405404993259,1.0,0.0,0.7767017543859649,0.7990938688166146,0.992754313482642,0.0505625119176253,0.0132523994152418
reverse_light_on_attack_1,reverse_light_on_attack,lof,0.7858562908264698,0.43633558296446373,0.7847663808394951,1.0,0.0,0.7858562908264698,0.5600096785876879,0.9963452615521516,0.0479247441683086,0.0388355685501811
reverse_light_on_attack_1,reverse_light_on_attack,one_class_svm,0.6624371558534834,0.2707618156170468,0.7347260165141702,1.0,0.0,0.6624371558534834,0.7219128173200916,0.9926746329371384,0.0896205428081103,0.0140786881077988
