corpus,dataset,capture,attack_type,representation,detector,n_seeds,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,fpr_mean,fpr_std,fpr_ci95_low,fpr_ci95_high
hcrl,RPM,RPM,RPM,residual,autoencoder,5,0.8127134335797989,0.0071917136524753894,0.8064096186239528,0.819017248535645,1.0,0.0,1.0,1.0,0.8966677693128833,0.0043724530317504175,0.892835145247575,0.9005003933781915,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.06059346864844708,0.0028551405322011928,0.05809082762884289,0.06309610966805126
hcrl,RPM,RPM,RPM,residual,elliptic_envelope,5,0.9474761015872859,0.004170844081327962,0.9438201955586403,0.9511320076159315,1.0,0.0,1.0,1.0,0.9730259900212012,0.002200215094338326,0.971097416458905,0.9749545635834973,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.014575675243727026,0.001222163404233893,0.013504401786747047,0.015646948700707007
hcrl,RPM,RPM,RPM,residual,hbos,5,0.9543520309477757,0.0,0.9543520309477757,0.9543520309477757,1.0,0.0,1.0,1.0,0.9766429136975457,1.2412670766236366e-16,0.9766429136975456,0.9766429136975459,0.9999988662879984,0.0,0.9999988662879984,0.9999988662879984,0.9999957230013246,0.0,0.9999957230013246,0.9999957230013246,0.01257258537105109,0.0,0.01257258537105109,0.01257258537105109
hcrl,RPM,RPM,RPM,residual,isolation_forest,5,0.9832576603711051,0.0030948781664114637,0.9805448800499321,0.985970440692278,0.9993514389947304,0.00016957033371182168,0.9992028040438168,0.9995000739456441,0.9912371186970409,0.0015197610153916152,0.9899049894325728,0.992569247961509,0.9994113572936131,0.000359229172522456,0.9990964790407026,0.9997262355465235,0.9952938946766843,0.002766899223824484,0.99286860057415,0.9977191887792185,0.0044749880134249635,0.0008423306324032761,0.0037366526604199913,0.005213323366429936
hcrl,RPM,RPM,RPM,residual,lof,5,0.8371180023229698,0.009186375794499596,0.8290657889115728,0.8451702157343669,1.0,0.0,1.0,1.0,0.911316518676653,0.0054459014324404155,0.9065429756023865,0.9160900617509194,0.9998568262106093,7.415500878785146e-06,0.9998503262375009,0.9998633261837178,0.9994933528415746,2.400749712646953e-05,0.9994723093425212,0.999514396340628,0.05117468435352405,0.0034489505210810525,0.04815154592958519,0.054197822777462906
hcrl,RPM,RPM,RPM,residual,one_class_svm,5,0.8057633471601775,0.001361192342797708,0.80457020946547,0.806956484854885,1.0,0.0,1.0,1.0,0.8924346521625062,0.0008353978743619962,0.8917023936398559,0.8931669106851564,0.9998668158329338,0.0,0.9998668158329338,0.9998668158329338,0.9989876493217251,1.2412670766236366e-16,0.998987649321725,0.9989876493217252,0.06336369932342442,0.0005518390778361779,0.06287999104467688,0.06384740760217196
hcrl,gear,gear,gear,raw,autoencoder,5,0.007246376811594203,0.016203391141302825,-0.006956521739130435,0.021449275362318842,0.0001919754271453254,0.00042927010510650606,-0.0001842964100595124,0.0005682472643501632,0.0003740415186085655,0.0008363822620160051,-0.00035907985786422285,0.001107162895081354,0.9390105850369392,0.0611510161977523,0.8854093560252843,0.9926118140485942,0.695995637454071,0.14434165499395735,0.5694745984539572,0.8225166764541848,0.010490455848158763,0.003008312560579922,0.007853553626013685,0.013127358070303841
hcrl,gear,gear,gear,raw,elliptic_envelope,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.737761136746994,0.08284884278248457,0.6651409241740133,0.8103813493199746,0.3252061869334855,0.07499438815265938,0.2594707073960678,0.3909416664709032,0.019748012761585464,0.011170635185550669,0.009956519307902494,0.029539506215268435
hcrl,gear,gear,gear,raw,hbos,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5783916962473502,0.0,0.5783916962473502,0.5783916962473502,0.2629738770507687,0.0,0.2629738770507687,0.2629738770507687,0.003082247336830152,0.0,0.003082247336830152,0.003082247336830152
hcrl,gear,gear,gear,raw,isolation_forest,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74293999284979,0.051866545498117,0.6974769612249748,0.7884030244746051,0.3228973964943055,0.04858254460533202,0.2803129185693898,0.3654818744192212,0.0072567998702211655,0.0008441514969086961,0.006516868459105915,0.007996731281336416
hcrl,gear,gear,gear,raw,lof,5,0.9611119204953893,0.00326574118351261,0.9582493721363534,0.9639744688544252,0.22687655980034555,0.031927250847297105,0.19889109053448187,0.25486202906620925,0.3662319974298623,0.04228284278921878,0.32916945161247935,0.40329454324724523,0.9614038682451664,0.00201017183812135,0.9596418749415804,0.9631658615487525,0.8761433881315934,0.005623086292744238,0.8712145356795754,0.8810722405836114,0.0025631319958903365,0.0001896466545909284,0.002396899373833007,0.002729364617947666
hcrl,gear,gear,gear,raw,one_class_svm,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396349904858855,0.007414524145289411,0.9331358735220907,0.9461341074496803,0.669638412487342,0.011584496524467573,0.6594841535755247,0.6797926713991593,0.009992970313091442,0.001958438281163987,0.008276323471534598,0.011709617154648286
hcrl,gear,gear,gear,residual,autoencoder,5,0.9095778048696095,0.03354731639159504,0.8801722855432041,0.9389833241960148,1.0,0.0,1.0,1.0,0.952386963939621,0.018580173130857552,0.9361007241191305,0.9686732037601115,0.9999984366247052,6.791413248089092e-08,0.9999983770953434,0.999998496154067,0.999994452119641,2.3898511932544644e-07,0.9999942426399479,0.9999946615993341,0.028345860595901152,0.011674173011121449,0.01811299677778845,0.03857872441401385
hcrl,gear,gear,gear,residual,elliptic_envelope,5,0.7752334539779923,0.0722136448526381,0.7119354034109299,0.8385315045450547,1.0,0.0,1.0,1.0,0.8719714042435911,0.04351865140764702,0.8338256244116378,0.9101171840755444,0.9984316854357692,2.7855087126208708e-08,0.9984316610197088,0.9984317098518296,0.9711645181025279,9.77367923565038e-08,0.9711644324324522,0.9711646037726036,0.08392364678527012,0.03028409388910124,0.057378468096647706,0.11046882547389253
