corpus,dataset,capture,attack_type,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,isolation_forest,4,0.0,0.0,0.0,0.9761226160730672,0.12802768639624298,0.010727141828653707,0.9026541999992332,0.189933600000586,1.0925877999998193,586.7421875,2434831
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,one_class_svm,0,0.022556390977443608,0.029411764705882353,0.02553191489361702,0.9853054108612488,0.183646379597645,0.009359251259899209,0.09218679999867163,0.42754389999936393,0.5197306999980356,585.92578125,29882
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,one_class_svm,1,0.0078125,0.00980392156862745,0.008695652173913044,0.9850343737206906,0.18066745797892447,0.009143268538516918,0.09020849999978964,0.3879029999989143,0.47811149999870395,586.890625,30010
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,one_class_svm,2,0.3888888888888889,0.8235294117647058,0.5283018867924528,0.9917616002484507,0.28466818495525453,0.009503239740820735,0.10314459999972314,0.4211355999996158,0.524280199999339,586.89453125,29882
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,one_class_svm,3,0.1,0.13725490196078433,0.11570247933884298,0.9856985558802355,0.18572832949563908,0.009071274298056155,0.07317160000093281,0.39333040000019537,0.4665020000011282,586.90234375,29482
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,one_class_svm,4,0.42857142857142855,1.0,0.6,0.9947479495757986,0.38189858365665963,0.009791216702663787,0.09931739999956335,0.5043334000001778,0.6036507999997411,586.8984375,30010
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,lof,0,0.0,0.0,0.0,0.769781476305425,0.01566742444917405,0.011879049676025918,0.1139911000009306,0.1631919999999809,0.2771831000009115,583.7578125,2514956
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,lof,1,0.0,0.0,0.0,0.7445573765863437,0.013795522665695944,0.006983441324694024,0.07145399999899382,0.17553120000047784,0.24698519999947166,585.8125,2514956
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,lof,2,0.0,0.0,0.0,0.7117802340518641,0.012322416990999254,0.0023038156947444203,0.09664149999844085,0.17548799999894982,0.27212949999739067,586.828125,2514956
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,lof,3,0.0,0.0,0.0,0.7370967969621253,0.013521589347852145,0.005831533477321814,0.09392610000031709,0.17155920000004699,0.2654853000003641,586.84375,2514956
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,lof,4,0.0,0.0,0.0,0.7308460029080026,0.013326691029737667,0.009575233981281498,0.10444230000030075,0.17870849999962957,0.2831507999999303,585.97265625,2514956
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,hbos,0,0.0,0.0,0.0,0.8056113158006184,0.021745828167952994,0.01216702663786897,0.013944399999672896,0.01580140000078245,0.029745800000455347,584.859375,3711
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,hbos,1,0.0,0.0,0.0,0.8056113158006184,0.021745828167952994,0.01216702663786897,0.018752800000584102,0.006937699999980396,0.025690500000564498,582.02734375,3711
